Construct,Item,n,Mean,SD,SE,SE_HC3,CI95_L,CI95_U
PE,I believe that using generative AI will improve my academic performance.,,,,,,,
PE,I believe that generative AI will help me better understand the concepts in my courses.,,,,,,,
PE,I believe that incorporating generative AI will increase efficiency in completing my assignments and projects.,,,,,,,
PE,I believe that using generative AI will make it easier for me to prepare for exams and assessments.,,,,,,,
EE,I believe that learning to use generative AI is easy for me.,,,,,,,
EE,I believe that interacting with generative AI is clear and easy to understand.,,,,,,,
EE,I believe that integrating generative AI into my academic activities requires minimal effort.,,,,,,,
EE,I am confident that I will be able to master the use of generative AI without difficulty.,,,,,,,
SI,I believe that my classmates support the use of generative AI in learning.,,,,,,,
SI,I believe that my instructors actively encourage the use of generative AI.,,,,,,,
SI,I believe that the educational community views the implementation of generative AI positively.,,,,,,,
SI,I believe that the people who are important to me think that I should use generative AI in my studies.,,,,,,,
FC,I believe that my educational institution provides the technological resources needed to use generative AI.,,,,,,,
FC,I believe that I have access to training on the use of generative AI.,,,,,,,
FC,I believe that technical support is available to solve issues related to generative AI.,,,,,,,
FC,I believe that my institution’s policies and guidelines support the integration of generative AI into learning.,,,,,,,
